"","Clemson University","Acadia","Arches","Badlands","Big Bend","Black Canyon of the Gunnison","Bryce Canyon","Canyonlands","Capitol Reef","Carlsbad Caverns *","Channel Islands","Congaree","Crater Lake","Cuyahoga Valley","Death Valley","Everglades","Gateway Arch","Glacier","Grand Canyon *","Grand Teton","Great Basin","Great Sand Dunes","Great Smoky Mountains","Guadalupe Mountains","Hot Springs","Joshua Tree","Kings Canyon","Lassen Volcanic","Mammoth Cave","Mesa Verde *","Mount Rainier","North Cascades","Olympic","Petrified Forest","Pinnacles","Redwood *","Rocky Mountain","Saguaro","Sequoia","Shenandoah","Theodore Roosevelt","Voyageurs","Wind Cave","Yellowstone","Yosemite *","Zion"
"Channel Islands",3348.19165176369,4494.15154786012,1024.00433679822,1817.46368038624,1620.08683587738,1165.26452409889,764.108842535914,972.075656135609,875.803608340317,1412.00050063807,0,3552.51485410714,1018.33725960148,3409.34673641714,342.564527921902,3824.56739699716,2662.59247126689,1702.84908516995,701.925416691895,1311.33389329215,717.081964289083,1320.75461778365,3269.4989332772,1378.64782687482,2422.46842052995,326.471889842324,319.468910169707,742.618466006764,3024.35136021107,1050.31205168035,1439.26184835286,1638.15625256899,1587.27170667102,892.329209426575,316.487733469765,904.081876199159,1416.13206276185,854.641353643316,276.806887336249,3693.49869410458,1968.30935283519,2722.27716591743,1739.61401366761,1403.10248875446,423.919660407434,682.376745507583
"Congaree",213.986867931654,1596.4329500387,2633.26521585841,2178.34426474299,2187.83170518698,2471.72025280288,2860.13382194801,2662.51918372562,2771.10872359951,2214.06370536299,3552.51485410714,0,3711.14073617356,830.751002885749,3282.0540899483,937.868974949192,1002.03233660137,3206.62817756742,2864.35427838551,2813.74074418842,3044.74976263597,2272.15834871885,328.397225233727,2259.35567053095,1133.82532087264,3236.56384554803,3429.80215281155,3661.232228302,612.509353840962,2533.65802020701,3720.96814278622,3714.83416969353,3869.24027190399,2660.21141983343,3665.74846133211,3868.33630731776,2314.88182205649,2772.55718149656,3445.76612683432,570.565141105027,2404.00221466883,1919.38261647324,2243.95156613005,2813.7230481369,3503.3132813897,2937.95298652317
"Crater Lake",3497.15387086605,4270.9000305544,1156.70634661737,1588.06418605653,2268.13099688961,1305.55977817293,1032.18753497989,1155.61764612469,1063.49598895799,1958.75012452488,1018.33725960148,3711.14073617356,0,3327.54166146561,870.806311293518,4215.18900905006,2718.75473826821,904.426529626941,1146.28202790027,919.860701245874,789.773239315338,1520.48347065217,3391.10187206365,1948.1160483042,2677.58925218162,1150.35151628409,746.142690260811,276.507946637869,3112.45188464372,1323.3402320451,435.394530694283,644.007061978767,569.634214867954,1376.62955501105,721.74995058501,240.5487203053,1401.92444900539,1564.40858346476,779.881998251252,3685.89594016918,1534.00313234335,2341.38437705554,1510.45370510062,951.14461999659,608.774036684464,992.631211369788
"Cuyahoga Valley",737.191899115433,1143.19948610721,2400.42916730422,1739.80016807512,2370.42750299209,2248.75075891321,2655.38659239047,2445.57438033233,2549.46939850115,2270.02093712928,3409.34673641714,830.751002885749,3327.54166146561,0,3094.40098590561,1766.65490890619,792.873448832443,2668.5604646768,2709.42378920209,2408.09845490046,2786.85038330339,2090.84630333337,640.874386678486,2319.17801350895,1255.82207020942,3124.97018344291,3217.26159713836,3339.87165116419,597.808373448673,2360.10339437658,3244.67514590263,3196.53877920851,3369.17520720731,2554.67310864093,3448.11989209832,3520.52125179977,2022.9440343909,2755.27780001212,3242.63207307164,406.706201692623,1857.90471521521,1202.91569707046,1818.37918376443,2380.09454665537,3258.40631128466,2737.92836945969
"Death Valley",3073.99705419722,4166.60278352526,695.980429380256,1476.81861292973,1487.16723546991,845.728693262954,439.016699830632,648.850950886903,546.480218853396,1225.85558641652,342.564527921902,3282.0540899483,870.806311293518,3094.40098590561,0,3618.04606004727,2363.32967082163,1414.05449733386,421.597687537285,977.113652562955,376.77876715945,1019.74579405208,2988.80593234251,1201.41266233243,2163.0512478094,284.475477331317,166.945747255935,624.747018296861,2734.74223942021,751.293783109659,1247.46046571307,1429.55387441855,1413.87367221629,650.426995709728,390.400117726217,839.011709988499,1084.88320804312,731.028308166758,168.315224197263,3391.61228147082,1627.17030545323,2380.15731399277,1398.4701237103,1071.31710247834,296.609908956749,356.512825638206
"Everglades",1053.33818009893,2403.82867069884,3066.38157947948,2829.07713993695,2248.57581227286,2911.91055067695,3246.01376399489,3077.96340874333,3181.00375274199,2412.56715932536,3824.56739699716,937.868974949192,4215.18900905006,1766.65490890619,3618.04606004727,0,1713.60596807107,3875.64579023673,3201.03609601927,3387.98225789997,3467.07283434573,2697.17967644814,1175.19378592161,2446.64932341513,1549.36517278682,3498.13140286116,3780.86095618034,4107.04571676717,1403.50810488085,2921.04248472203,4313.09566259097,4346.57749745922,4478.41510903828,2967.62035013144,4007.51500535382,4330.13352467809,2833.08518084179,2977.03654085966,3786.29893198255,1484.81405409872,3119.67054709643,2776.39679113905,2878.75947948954,3412.28520212671,3882.23502846082,3312.64446220608
"Gateway Arch",790.010184314619,1935.23109129778,1683.79296400001,1177.16402084355,1590.80506113368,1524.75755884172,1927.77989234192,1721.3325267907,1828.92035325353,1477.1690824893,2662.59247126689,1002.03233660137,2718.75473826821,792.873448832443,2363.32967082163,1713.60596807107,0,2212.90796300008,1960.93380472597,1814.02978318975,2088.50626756206,1344.44077661935,675.896759070033,1526.32986500022,523.911869732351,2365.07456498624,2498.8174052663,2685.39434930603,394.010944606132,1614.72729387412,2718.9440380863,2715.46092439188,2867.91250948308,1787.52286339064,2733.92043737826,2885.47154729065,1336.21388347861,1969.96620232558,2519.89088242774,1031.03633392218,1423.07570873265,1117.72652549386,1241.97955971,1811.95672607334,2556.91321390216,2009.01799202873
"Glacier",2998.57767310964,3490.91028650913,1179.13678529692,1047.50028452223,2356.06731748596,1243.22712020795,1256.25522896227,1222.34677353467,1199.48996682167,2012.91016604805,1702.84908516995,3206.62817756742,904.426529626941,2668.5604646768,1414.05449733386,3875.64579023673,2212.90796300008,0,1423.31916822724,615.04819352943,1091.36618663333,1407.78044817895,2878.25666315897,2024.95511533727,2344.29168838099,1674.45246277834,1383.38991686044,1097.73122691354,2594.5116872336,1365.93121470477,619.130519712828,529.388062933423,709.200577248324,1564.01977124856,1487.58778811483,1144.97305154644,1146.58409022114,1861.05663516865,1426.04435070736,3059.11563705535,814.111995833041,1551.54775805533,997.343864370324,538.042913314176,1296.97060826129,1279.89488002009
"Grand Canyon *",2657.41388826315,3803.3806271027,369.253116608925,1185.22249867125,1124.14713611389,480.639704287598,167.609035964552,308.149875682578,252.650047002488,830.759383226604,701.925416691895,2864.35427838551,1146.28202790027,2709.42378920209,421.597687537285,3201.03609601927,1960.93380472597,1423.31916822724,0,859.263414869099,376.121963696695,619.169641470403,2574.78342902545,813.283681784777,1742.30244491505,425.908996191959,580.516193790524,955.257428514607,2325.3491577244,349.326628097095,1440.06094073483,1587.34700711437,1619.61624087417,240.48726826659,811.536393829362,1183.10043175711,749.263544083195,448.847304332058,589.159184603565,2991.71686514605,1410.20555860041,2094.73639661588,1114.56755491854,958.419971149568,684.168296476704,159.844802824615
"Grand Teton",2600.24259722637,3375.37157429257,570.232114877458,668.335561273974,1741.52220877815,628.555194683501,693.907165689592,618.465459102362,614.912398580566,1398.47859151797,1311.33389329215,2813.74074418842,919.860701245874,2408.09845490046,977.113652562955,3387.98225789997,1814.02978318975,615.04819352943,859.263414869099,0,603.245633726567,801.875218076911,2489.58060887557,1409.98658205124,1838.81909662448,1188.5330772715,1012.3158163844,955.20163412137,2207.85400020247,753.17701793011,925.337518086336,972.902260476432,1091.44007288589,965.446844504979,1193.38442305199,1116.50358981589,568.533060547304,1274.51798614667,1051.9268578564,2766.63875264166,678.845985560126,1478.92262469194,590.625017707255,99.6037010907254,983.179981775069,738.957361982816
