"","Clemson University","Acadia","Arches","Badlands","Big Bend","Black Canyon of the Gunnison","Bryce Canyon","Canyonlands","Capitol Reef","Carlsbad Caverns *","Channel Islands","Congaree","Crater Lake","Cuyahoga Valley","Death Valley","Everglades","Gateway Arch","Glacier","Grand Canyon *","Grand Teton","Great Basin","Great Sand Dunes","Great Smoky Mountains","Guadalupe Mountains","Hot Springs","Joshua Tree","Kings Canyon","Lassen Volcanic","Mammoth Cave","Mesa Verde *","Mount Rainier","North Cascades","Olympic","Petrified Forest","Pinnacles","Redwood *","Rocky Mountain","Saguaro","Sequoia","Shenandoah","Theodore Roosevelt","Voyageurs","Wind Cave","Yellowstone","Yosemite *","Zion"
"Mount Rainier",3508.71104531307,4104.68077080701,1345.31494104583,1544.42230399381,2526.89955691121,1468.29171334484,1296.79182452147,1363.32562971947,1293.42172686113,2197.43506432553,1439.26184835286,3720.96814278622,435.394530694283,3244.67514590263,1247.46046571307,4313.09566259097,2718.9440380863,619.130519712828,1440.06094073483,925.337518086336,1063.99748058234,1673.76302735957,3394.10981651874,2195.45569279444,2763.7787468494,1531.93448492254,1147.20314839644,706.8973186573,3110.34194265166,1532.23040791731,0,209.782222985712,181.510919168107,1647.2984423055,1152.80447655644,642.403215917923,1484.81099350068,1883.06223850227,1184.98279853662,3624.97990232718,1391.04969879711,2162.71847992773,1477.07534824697,909.85497036689,1018.83197463385,1280.22068368533
"North Cascades",3504.63975807468,4011.74593566732,1452.14660916656,1539.11546940096,2646.64810576427,1560.73334061835,1435.55221239065,1477.54770983849,1418.57967742282,2310.97932482218,1638.15625256899,3714.83416969353,644.007061978767,3196.53877920851,1429.55387441855,4346.57749745922,2715.46092439188,529.388062933423,1587.34700711437,972.902260476432,1212.97726533513,1757.1999502002,3386.63370000471,2312.90185119463,2801.06515712162,1713.35905464594,1339.40744308593,912.657019219257,3102.38237813359,1642.82386445498,209.782222985712,0,188.848068489608,1781.70913071795,1357.46437000568,851.330924563337,1541.41752800792,2034.93211561352,1378.41513025975,3585.1845107121,1339.53504101962,2076.8103824185,1478.86293212647,936.144207382989,1215.41190755008,1428.26287567657
"Olympic",3657.8884387827,4197.26674476629,1525.96914546024,1690.90752028351,2708.40983743291,1647.22519290648,1477.63437970021,1544.55342856449,1474.93157425387,2378.81808787307,1587.27170667102,3869.24027190399,569.634214867954,3369.17520720731,1413.87367221629,4478.41510903828,2867.91250948308,709.200577248324,1619.61624087417,1091.44007288589,1243.75581989455,1851.33651431233,3541.56227313152,2376.94459800137,2929.74708804397,1697.94236489901,1305.29376060979,846.141413130249,3257.39309651843,1713.30016738331,181.510919168107,188.848068489608,0,1828.33991792361,1290.65511025321,742.257835914975,1655.55863213008,2061.25934890347,1341.51713464646,3754.81077724079,1511.29787247096,2260.13993813684,1626.78852666127,1067.94856386969,1172.44312673524,1459.82535227956
"Petrified Forest",2456.26448915177,3667.52106768998,401.058101465034,1148.61050108719,891.683470115146,429.667068647875,351.258874158096,347.597708497635,368.901151702979,590.615183149208,892.329209426575,2660.21141983343,1376.62955501105,2554.67310864093,650.426995709728,2967.62035013144,1787.52286339064,1564.01977124856,240.48726826659,965.446844504979,591.486149420812,483.483442796523,2379.18018111184,574.536260809881,1530.60853642696,580.063299023044,813.997307008241,1194.17804858567,2138.91099485858,261.337968138116,1647.2984423055,1781.70913071795,1828.33991792361,0,1040.15605855208,1422.28196075117,697.664961439793,319.830367459633,818.683617665529,2817.23467608564,1423.55104949545,2039.98762397043,1088.0916215063,1059.91498497358,923.082782160487,384.336247601241
"Pinnacles",3456.5805135368,4498.04377113081,1051.66947821056,1778.26109311728,1854.09817563755,1209.30069684539,807.841462754981,1012.59858288549,905.106068254001,1608.82854471397,316.487733469765,3665.74846133211,721.74995058501,3448.11989209832,390.400117726217,4007.51500535382,2733.92043737826,1487.58778811483,811.536393829362,1193.38442305199,665.109216577716,1396.36681388744,3368.83010700552,1581.90738302935,2550.8682646518,564.550136798364,236.089025225694,446.178214876624,3110.6667533987,1132.10311060292,1152.80447655644,1357.46437000568,1290.65511025321,1040.15605855208,0,588.997533262974,1425.83807992148,1086.1845084327,222.377507970425,3757.83833612956,1870.99925554592,2658.51940437842,1697.31679490499,1274.06452780385,210.209398835722,728.395635554906
"Redwood *",3654.64378946539,4485.73674211736,1264.64263682946,1782.23278520109,2303.32119085452,1421.86843425757,1097.47916119055,1252.39063763042,1150.9055962452,2012.68393743526,904.081876199159,3868.33630731776,240.5487203053,3520.52125179977,839.011709988499,4330.13352467809,2885.47154729065,1144.97305154644,1183.10043175711,1116.50358981589,865.274599319105,1635.21586174056,3552.59965078135,1996.34267725913,2807.72340136314,1097.6321556826,686.836884253522,228.285131441778,3277.50002413294,1412.61656567019,642.403215917923,851.330924563337,742.257835914975,1422.28196075117,588.997533262974,0,1553.56728609948,1565.44258904802,710.659547993202,3870.11349330252,1754.62768077771,2564.2722312296,1702.72078378795,1159.44296871738,545.703432210205,1042.68148202499
"Rocky Mountain",2101.12918874482,3081.82607182595,392.514921330445,450.945611855538,1255.05524796494,274.163669129397,652.213325459877,447.631038359296,540.373580582422,918.939929554934,1416.13206276185,2314.88182205649,1401.92444900539,2022.9440343909,1084.88320804312,2833.08518084179,1336.21388347861,1146.58409022114,749.263544083195,568.533060547304,764.079991785919,296.47663403242,1999.37979629861,943.118863015911,1285.14557989646,1173.23945653572,1197.03641989208,1349.64985726046,1726.00265671416,437.769189121325,1484.81099350068,1541.41752800792,1655.55863213008,697.664961439793,1425.83807992148,1553.56728609948,0,1006.05450886101,1224.51140943333,2343.19758643228,749.816380972122,1350.3156761433,392.725036744273,617.185983807809,1235.78839638297,733.756948089181
"Saguaro",2577.58444905429,3885.41760210235,718.369045410033,1455.36672325215,769.510327541926,745.162483796407,609.804696524435,662.154854139817,662.928674974529,571.312508521246,854.641353643316,2772.55718149656,1564.40858346476,2755.27780001212,731.028308166758,2977.03654085966,1969.96620232558,1861.05663516865,448.847304332058,1274.51798614667,822.034886275815,759.428057314867,2513.42895935315,532.701382909775,1640.83645663357,532.572697399134,894.446590447681,1344.17356944761,2294.03977206497,577.029001814792,1883.06223850227,2034.93211561352,2061.25934890347,319.830367459633,1086.1845084327,1565.44258904802,1006.05450886101,0,883.528657165586,2986.51367180546,1741.04350476315,2332.35359266285,1398.6195335035,1370.91854603381,1027.5250316954,606.839199652965
"Sequoia",3237.07861452115,4304.37044889366,842.372000959344,1597.2626054295,1646.50741606626,997.137987487594,592.111431593935,799.765850432489,693.850589090573,1391.79361353132,276.806887336249,3445.76612683432,779.881998251252,3242.63207307164,168.315224197263,3786.29893198255,2519.89088242774,1426.04435070736,589.159184603565,1051.9268578564,478.739157080077,1178.90722258509,3150.48350615863,1366.33099991468,2329.13119691287,387.277265390482,42.6742657499472,513.854711870399,2894.19524513907,912.694430155675,1184.98279853662,1378.41513025975,1341.51713464646,818.683617665529,222.377507970425,710.659547993202,1224.51140943333,883.528657165586,0,3546.18353450143,1719.87918847112,2491.29060346458,1517.36152492963,1140.49012446933,171.607324391576,511.135893730441
"Shenandoah",586.327508889876,1064.45559035672,2706.17812547623,2100.27451359618,2512.22553683345,2549.20803917238,2954.45743550735,2746.48434711319,2853.1463046294,2464.66481475451,3693.49869410458,570.565141105027,3685.89594016918,406.706201692623,3391.61228147082,1484.81405409872,1031.03633392218,3059.11563705535,2991.71686514605,2766.63875264166,3104.7703828421,2374.30741599789,558.461647118748,2513.06363669447,1388.2739870398,3395.62328053248,3523.76279511107,3681.04008697566,698.07067759855,2644.84470176524,3624.97990232718,3585.1845107121,3754.81077724079,2817.23467608564,3757.83833612956,3870.11349330252,2343.19758643228,2986.51367180546,3546.18353450143,0,2245.72662557253,1609.59574521515,2176.30537461761,2745.78127691288,3575.73197137041,3036.21780946046
"Theodore Roosevelt",2199.07299610119,2738.50430282839,1047.32179471624,365.517665337845,1967.00953089677,996.032188493812,1266.66247498191,1109.02833790664,1160.87543606007,1645.37142195116,1968.30935283519,2404.00221466883,1534.00313234335,1857.90471521521,1627.17030545323,3119.67054709643,1423.07570873265,814.111995833041,1410.20555860041,678.845985560126,1251.2273929746,1040.21630965449,2076.34458163344,1675.31715238444,1635.68200609125,1800.6004415307,1681.83057690019,1618.25040571797,1794.29642806211,1164.01561932862,1391.04969879711,1339.53504101962,1511.29787247096,1423.55104949545,1870.99925554592,1754.62768077771,749.816380972122,1741.04350476315,1719.87918847112,2245.72662557253,0,810.156365436854,377.873307475136,607.921903372734,1660.9250072258,1333.338630505
"Voyageurs",1745.33286305741,1942.36796176427,1727.51242799337,910.801174811585,2313.70871788241,1624.43530095431,1977.3985969195,1787.38977627565,1864.88517613855,2056.91607734486,2722.27716591743,1919.38261647324,2341.38437705554,1202.91569707046,2380.15731399277,2776.39679113905,1117.72652549386,1551.54775805533,2094.73639661588,1478.92262469194,2013.39937348308,1573.18926493075,1617.68255386348,2099.22156635039,1553.85471236958,2512.72468500165,2455.84823198904,2427.17299445193,1372.905798324,1785.00982808177,2162.71847992773,2076.8103824185,2260.13993813684,2039.98762397043,2658.51940437842,2564.2722312296,1350.3156761433,2332.35359266285,2491.29060346458,1609.59574521515,810.156365436854,0,985.342495141477,1415.39232000567,2449.96794809003,2053.69134914903
"Wind Cave",2031.9113291635,2810.11068759174,745.543746457242,81.5395495667331,1589.19919112224,659.569457669593,992.287966158938,806.417690927426,880.013100023149,1268.132416164,1739.61401366761,2243.95156613005,1510.45370510062,1818.37918376443,1398.4701237103,2878.75947948954,1241.97955971,997.343864370324,1114.56755491854,590.625017707255,1038.82874615054,670.797248537087,1917.0412681658,1298.79880873152,1349.48638364188,1528.58309158357,1483.99154115308,1528.47957642505,1633.34714273565,826.956476123192,1477.07534824697,1478.86293212647,1626.78852666127,1088.0916215063,1697.31679490499,1702.72078378795,392.725036744273,1398.6195335035,1517.36152492963,2176.30537461761,377.873307475136,985.342495141477,0,573.577686407221,1493.12009495858,1068.34909861657
"Yellowstone",2600.92706629236,3326.42912830399,662.049317845537,646.422547713001,1819.96538563674,708.58810364366,793.329435419986,712.386441473931,712.992680531061,1476.77859202175,1403.10248875446,2813.7230481369,951.14461999659,2380.09454665537,1071.31710247834,3412.28520212671,1811.95672607334,538.042913314176,958.419971149568,99.6037010907254,699.37137126868,869.915668533228,2487.76943317966,1490.28881285433,1865.30954488623,1286.82330372797,1100.23070889824,1011.89001641987,2204.66290709456,841.158599698833,909.85497036689,936.144207382989,1067.94856386969,1059.91498497358,1274.06452780385,1159.44296871738,617.185983807809,1370.91854603381,1140.49012446933,2745.78127691288,607.921903372734,1415.39232000567,573.577686407221,0,1064.07065312507,838.514887760215
"Yosemite *",3292.50523305826,4298.29525681253,873.815761269319,1574.33221569931,1780.17781616663,1034.39931418177,646.022878322119,841.0134886292,732.399448367214,1508.96160189218,423.919660407434,3503.3132813897,608.774036684464,3258.40631128466,296.609908956749,3882.23502846082,2556.91321390216,1296.97060826129,684.168296476704,983.179981775069,471.724235915181,1231.33444225144,3201.04635034764,1487.23936928049,2399.81603715418,553.78368342472,141.980221438395,342.59450526836,2938.24175595106,975.59929524482,1018.83197463385,1215.41190755008,1172.44312673524,923.082782160487,210.209398835722,545.703432210205,1235.78839638297,1027.5250316954,171.607324391576,3575.73197137041,1660.9250072258,2449.96794809003,1493.12009495858,1064.07065312507,0,572.760461886835
"Zion",2728.43182046048,3813.37595650688,341.892399858293,1143.90687004681,1275.51060262246,489.217717817463,82.6220419961546,292.528454680974,193.461147009044,971.71964950641,682.376745507583,2937.95298652317,992.631211369788,2737.92836945969,356.512825638206,3312.64446220608,2009.01799202873,1279.89488002009,159.844802824615,738.957361982816,216.28622345991,668.118253276226,2640.44714356068,958.007304317317,1828.19775660304,467.324233867861,492.308172202545,814.421527107793,2383.16050149425,404.793762192021,1280.22068368533,1428.26287567657,1459.82535227956,384.336247601241,728.395635554906,1042.68148202499,733.756948089181,606.839199652965,511.135893730441,3036.21780946046,1333.338630505,2053.69134914903,1068.34909861657,838.514887760215,572.760461886835,0
